# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	5927
#@/user_id	mac
a 	啊	c=58 d=5.96503 t=5927
bian shi 	便是	c=0 d=0.0647265 t=5927
bian xiao le 	變小了	c=1 d=0.0137736 t=5927
bian you 	便有	c=0 d=0.0744532 t=5927
bian you le 	便有了	c=1 d=0.748264 t=5927
bian yu 	便於	c=1 d=0.275271 t=5927
biao 	表	c=9 d=1.49763 t=5927
biao da 	表達	c=1 d=0.0547488 t=5927
biao ge 	表格	c=1 d=1.23729e-05 t=5927
biao hao 	標號	c=1 d=0.305746 t=5927
biao le 	表了	c=1 d=0.537944 t=5927
biao ming 	表名	c=1 d=0.97531 t=5927
biao ming 	表明	c=1 d=0.970446 t=5927
biao qian 	標籤	c=31 d=3.84384 t=5927
biao qian de 	標籤的	c=1 d=0.128093 t=5927
biao qian zhi 	標籤值	c=7 d=1.04819 t=5927
bie le 	別了	c=1 d=0.396531 t=5927
bie le 	瘪了	c=1 d=0.394554 t=5927
bie shang 	別上	c=0 d=0.0782705 t=5927
bie shang a 	別上啊	c=1 d=0.786628 t=5927
bing 	冰	c=1 d=0.722527 t=5927
bing deng 	冰燈	c=4 d=2.39354 t=5927
bing deng ne ge 	冰燈呢個	c=1 d=0.67032 t=5927
bing fa 	併發	c=0 d=0.0904837 t=5927
bing fa du 	併發度	c=1 d=0.909373 t=5927
bing jia 	病假	c=1 d=1 t=5816
bing jia ai 	冰家愛	c=1 d=1 t=5815
bing mei you 	並沒有	c=1 d=0.0916297 t=5927
bing tuo 	冰坨	c=1 d=0.697676 t=5927
bu 	不	c=3 d=0.867599 t=5927
bu can jia 	不參加	c=0 d=0.0810584 t=5927
bu chang 	補償	c=1 d=1.60468e-05 t=5927
bu chu 	不出	c=2 d=0.631719 t=5927
bu chu lai 	不出來	c=0 d=0.0241714 t=5927
bu ci 	不辭	c=0 d=0.0955997 t=5927
bu cun chu 	不存儲	c=1 d=0.715338 t=5927
bu cun zai 	不存在	c=1 d=0.0544757 t=5927
bu da 	不大	c=5 d=3.53888 t=5927
bu da 	不打	c=1 d=0.873716 t=5927
bu da dian 	不打點	c=1 d=0.00227676 t=5927
bu de 	不得	c=0 d=0.00478349 t=5927
bu dou shi 	不都是	c=1 d=0.794534 t=5927
bu dui 	不對	c=1 d=0.00223168 t=5927
bu fa song 	不發送	c=1 d=0.878095 t=5927
bu fen 	部分	c=1 d=0.060205 t=5927
bu gan zhi 	不感知	c=2 d=8.12493e-05 t=5927
bu gao jing 	不告警	c=1 d=0.00168667 t=5927
bu gou 	不夠	c=1 d=1 t=5863
bu hui 	不會	c=4 d=0.386741 t=5927
bu hui bian de 	不會變得	c=1 d=0.000678925 t=5927
bu hui shi 	不會是	c=0 d=0.0634448 t=5927
bu hui yao 	不會要	c=1 d=0.217621 t=5927
bu ji 	不急	c=1 d=0.0342181 t=5927
bu ji shi 	不及時	c=1 d=0.362402 t=5927
bu jian 	不见	c=0 d=0.1 t=5866
bu jian cha 	不檢查	c=1 d=0.615697 t=5927
bu jian chi 	不见喫	c=1 d=1 t=5867
bu jiao jie 	不交接	c=1 d=0.970446 t=5927
bu jie jue 	不解決	c=1 d=0.0023344 t=5927
bu jin qu 	不進去	c=0 d=0.0697676 t=5927
bu jiu 	不就	c=0 d=0.0891366 t=5927
bu jiu shi 	不就是	c=4 d=2.10493 t=5927
bu jiu zhi dao le 	不就知道了	c=1 d=0.895834 t=5927
bu ju bei 	不具備	c=1 d=0.481909 t=5927
bu ke neng 	不可能	c=1 d=0.00254506 t=5927
bu ke neng shuo 	不可能說	c=1 d=0.00246639 t=5927
bu li yu 	不利於	c=1 d=0.18452 t=5927
bu lia 	不倆	c=1 d=0.00140882 t=5927
bu liao 	不了	c=2 d=0.067032 t=5927
bu mie 	不滅	c=1 d=0.752014 t=5927
bu nan 	不難	c=1 d=0.191092 t=5927
bu neng 	不能	c=1 d=0.826959 t=5927
bu qian 	不遷	c=0 d=0.0302704 t=5927
bu qian yi 	不遷一	c=1 d=0.304221 t=5927
bu qu 	不去	c=0 d=0.019205 t=5927
bu qu fen 	不區分	c=1 d=0.0682212 t=5927
bu qu gao 	不去搞	c=1 d=0.193013 t=5927
bu quan 	補全	c=22 d=10.6579 t=5927
bu quan a 	補全啊	c=1 d=0.327915 t=5927
bu que ding 	不確定	c=1 d=0.0391639 t=5927
bu ran 	不然	c=1 d=0.744532 t=5927
bu ru 	不如	c=2 d=0.251579 t=5927
bu she ji 	不涉及	c=1 d=0.151829 t=5927
bu shi 	不是	c=18 d=1.85635 t=5927
bu shi a 	不是啊	c=1 d=0.806541 t=5927
bu shi ba 	不是吧	c=1 d=0.637628 t=5927
bu shi shuo 	不是說	c=1 d=0.00164502 t=5927
bu shi yao 	不是要	c=1 d=0.737123 t=5927
bu shu 	部署	c=1 d=0.557106 t=5927
bu tai 	不太	c=1 d=0.398519 t=5927
bu tai neng 	不太能	c=0 d=0.0479505 t=5927
bu tai neng yong le 	不太能永乐	c=1 d=0.481909 t=5927
bu tong 	不同	c=5 d=0.766982 t=5927
bu wan 	不晚	c=0 d=0.000504176 t=5927
bu xie 	不屑	c=1 d=0.0692522 t=5927
bu xing 	不行	c=3 d=1.0337 t=5927
bu xing ba 	不行吧	c=1 d=0.337902 t=5927
bu xing de 	不行的	c=1 d=0.00453922 t=5927
bu xu yao 	不需要	c=1 d=0.0564161 t=5927
bu ye 	不也	c=0 d=0.0172045 t=5927
bu ye jiu shi 	不也就是	c=1 d=0.172907 t=5927
bu yi yang 	不一樣	c=1 d=0.280555 t=5927
bu yong 	不用	c=3 d=1.34493 t=5927
bu yu 	捕魚	c=1 d=0.615697 t=5927
bu zai 	不再	c=1 d=0.180866 t=5927
bu zai 	補再	c=1 d=0.257947 t=5927
bu zhi cheng 	佈置成	c=1 d=0.332871 t=5927
bu zhi chi 	不支持	c=2 d=0.33454 t=5927
bu zhi dao 	不知道	c=2 d=0.377192 t=5927
bu zhun 	不准	c=1 d=0.00082099 t=5927
cai 	才	c=0 d=0.0341298 t=5927
cai dui 	纔對	c=1 d=0.447088 t=5927
cai neng 	才能	c=1 d=0.0726149 t=5927
cai neng shang 	才能上	c=1 d=0.729789 t=5927
cai qu 	採取	c=1 d=0.000189713 t=5927
cai shi 	纔是	c=2 d=0.949946 t=5927
cai xie wan 	才寫完	c=1 d=0.343009 t=5927
cai xing 	才性	c=1 d=0.133241 t=5927
cai xing a 	才性啊	c=1 d=0.120633 t=5927
cai yong 	採用	c=4 d=0.0614212 t=5927
cai yong de 	採用的	c=1 d=0.701173 t=5927
can kao 	參考	c=2 d=0.127913 t=5927
can shu 	參數	c=5 d=1.44332 t=5927
cang ku 	倉庫	c=2 d=0.842716 t=5927
cao zuo 	操作	c=2 d=0.472367 t=5927
ce 	側	c=0 d=0.0140858 t=5927
ce 	測	c=1 d=0.751226 t=5927
ce kong 	測控	c=0 d=0.083527 t=5927
ce kong ye 	測控也	c=1 d=0.839457 t=5927
ce le 	策勒	c=1 d=0.83527 t=5927
ce lu 	側錄	c=1 d=0.634474 t=5927
ce lu wang 	側錄往	c=1 d=0.790571 t=5927
ce lue 	策略	c=40 d=8.84003 t=5927
ce lue zhang wo du 	策略掌握度	c=1 d=0.0925506 t=5927
ce shi 	測試	c=6 d=1.80412 t=5927
ce yi shou 	測一手	c=1 d=0.22313 t=5927
ceng 	層	c=1 d=0.261846 t=5927
ceng jing you 	曾經有	c=1 d=0.0930145 t=5927
cha 	差	c=1 d=0.282239 t=5927
cha 	查	c=6 d=1.10225 t=5927
cha bu dao 	查不到	c=2 d=0.83527 t=5927
cha bu duo 	差不多	c=1 d=0.24537 t=5927
cha bu duo ba 	差不多吧	c=1 d=0.404542 t=5927
cha chu lai 	查出來	c=1 d=0.275271 t=5927
cha dao 	查到	c=1 d=0.344728 t=5927
cha dao le 	查到了	c=1 d=0.900325 t=5927
cha de 	查的	c=1 d=0.0426384 t=5927
cha jian 	插件	c=11 d=1.71032 t=5927
cha kan 	查看	c=4 d=0.782705 t=5927
cha qi lai 	查起來	c=1 d=1 t=5685
cha xun 	查詢	c=12 d=2.18773 t=5927
cha xun ma 	查詢嗎	c=1 d=0.0343896 t=5927
cha yi 	差異	c=1 d=4.72527e-05 t=5927
chan pin 	產品	c=2 d=0.27859 t=5927
chan ping 	剷平	c=1 d=0.427415 t=5927
chang jian 	常见	c=1 d=0.275271 t=5927
chang jing 	場景	c=5 d=2.15754 t=5927
chang yong 	常用	c=3 d=0.680944 t=5927
chao 	抄	c=0 d=0.0909373 t=5927
chao ji 	超級	c=1 d=0.366045 t=5927
chao shi 	超時	c=1 d=0.621885 t=5927
chao shi le 	超時了	c=1 d=0.431711 t=5927
chao wan le ma 	抄萬樂嗎	c=1 d=0.913931 t=5927
chen liang 	陈亮	c=1 d=0.650509 t=5927
cheng 	成	c=1 d=0.802519 t=5927
cheng ben 	成本	c=4 d=0.223737 t=5927
cheng beng 	成泵	c=1 d=0.147342 t=5927
cheng gong 	成功	c=6 d=2.26484 t=5927
cheng jie 	承接	c=2 d=0.244247 t=5927
cheng long 	程龍	c=1 d=0.0776922 t=5927
cheng xu 	程序	c=1 d=0.904837 t=5927
cheng zai 	承載	c=1 d=0.0569831 t=5927
chi 	喫	c=0 d=0.1 t=5866
chong fu 	重複	c=2 d=0.959872 t=5927
chong fu xing 	重復性	c=1 d=2.90934e-05 t=5927
chong gou 	重構	c=1 d=1.08646e-05 t=5927
chong qi 	重啓	c=1 d=0.806541 t=5927
chong shi 	重實	c=1 d=0.394554 t=5927
chong shi 	重試	c=4 d=0.413342 t=5927
chong ti 	重題	c=5 d=0.0587185 t=5927
chong tu 	衝突	c=4 d=0.673016 t=5927
chong tu ru 	衝突如	c=1 d=0.000754089 t=5927
chong xin 	重新	c=2 d=0.506174 t=5927
chong zai 	重載	c=1 d=0.798516 t=5927
chong zhuang 	重裝	c=1 d=0.847894 t=5927
chou chou 	瞅瞅	c=3 d=1.14674 t=5927
chou jian 	抽檢	c=6 d=0.162395 t=5927
chu cuo 	出錯	c=1 d=0.000426457 t=5927
chu cuo le 	出錯了	c=1 d=0.00136719 t=5927
chu de 	触得	c=1 d=0.0507928 t=5927
chu fa 	觸發	c=3 d=1.6843 t=5927
chu fa qi 	觸發器	c=1 d=0.053397 t=5927
chu lai 	出來	c=2 d=0.402239 t=5927
chu li 	出离	c=1 d=0.465334 t=5927
chu li 	處理	c=4 d=1.1663 t=5927
chu shi hua 	初始化	c=1 d=1 t=5927
chu xian 	出現	c=1 d=0.000267872 t=5927
chuan de 	傳的	c=1 d=0.0308074 t=5927
chuan jiang 	串講	c=1 d=0.927743 t=5927
chuan jiang 	川江	c=1 d=0.923116 t=5927
chuan shuo 	傳說	c=0 d=0.0546074 t=5927
chuan shuo zai 	傳說在	c=1 d=0.548812 t=5927
chuang jian 	創建	c=1 d=0.802519 t=5927
chui de 	吹的	c=4 d=2.66529 t=5927
ci 	次	c=1 d=0.099005 t=5927
ci 	此	c=2 d=0.980199 t=5927
ci ku 	詞庫	c=2 d=1.30428 t=5927
cong 	從	c=4 d=0.631944 t=5927
cou he 	湊合	c=1 d=0.618783 t=5927
cun chu 	存儲	c=45 d=4.44782 t=5927
cun liang 	存量	c=1 d=3.41414e-05 t=5927
cun zai 	存在	c=2 d=1.00627 t=5927
cuo 	錯	c=1 d=0.00252883 t=5927
cuo guo 	錯過	c=1 d=0.65377 t=5927
cuo le 	错了	c=1 d=0.00167826 t=5927
cuo ti 	錯題	c=6 d=3.03511 t=5927
cuo ti 	錯體	c=3 d=1.71863 t=5927
cuo ti ding zheng 	錯體訂正	c=3 d=0.659949 t=5927
cuo wu 	錯誤	c=4 d=1.19687 t=5927
da 	大	c=1 d=0.00479592 t=5927
da 	打	c=0 d=0.00295994 t=5927
da 	搭	c=1 d=0.0645703 t=5927
da bu fen 	大部分	c=2 d=0.847894 t=5927
da dao 	達到	c=2 d=0.481145 t=5927
da de 	打的	c=1 d=0.600496 t=5927
da dian 	打點	c=8 d=0.225749 t=5927
da duan 	打斷	c=1 d=0.847894 t=5927
da duo shu 	大多數	c=1 d=2.98299e-05 t=5927
da fang da shuai 	大放大率	c=0 d=0.0891366 t=5927
da fu du 	大幅度	c=1 d=0.826959 t=5927
da gai 	大概	c=1 d=0.079659 t=5927
da gai lv 	大概率	c=1 d=0.0395575 t=5927
da gang 	大綱	c=1 d=0.965605 t=5927
da ge 	大哥	c=5 d=2.12484 t=5927
da jia 	大家	c=1 d=0.0735345 t=5927
da jie 	大姐	c=1 d=0.737639 t=5927
da kai 	打開	c=6 d=1.07359 t=5927
da nao er 	大鬧兒	c=0 d=0.0640824 t=5927
da nao er gao long 	大鬧兒高隆	c=1 d=0.644036 t=5927
da pei 	搭配	c=0 d=0.0364219 t=5927
da suan 	打算	c=1 d=0.852144 t=5927
da yi 	答疑	c=1 d=0.00297478 t=5927
da yi quan 	打一泉	c=1 d=0.0297478 t=5927
da yi quan 	答疑圈	c=6 d=0.919918 t=5927
da yi quan de 	答疑圈的	c=2 d=0.068969 t=5927
da yi quan zhe ge 	答疑圈這個	c=1 d=0.000572785 t=5927
da yi tie 	答疑貼	c=4 d=0.0103831 t=5927
da zi 	打字	c=5 d=1.43174 t=5927
dai li 	代理	c=1 d=0.878095 t=5927
dai ma 	代嗎	c=1 d=0.666977 t=5927
dai ma 	代碼	c=10 d=2.4112 t=5927
dan 	但	c=2 d=0.458406 t=5927
dan chun de 	單純的	c=1 d=0.551563 t=5927
dan ci 	單詞	c=3 d=1.78489 t=5927
dan ci pin xie jian cha 	單詞拼寫檢查	c=2 d=1.19799 t=5927
dan dan de dan 	蛋蛋的蛋	c=1 d=0.349938 t=5927
dan du 	單獨	c=2 d=0.882497 t=5927
dan mei 	但沒	c=0 d=0.0763379 t=5927
dan mei ce guo 	但沒測過	c=1 d=0.767206 t=5927
dan shi 	但是	c=18 d=1.25859 t=5927
dan you yu 	但由於	c=1 d=7.19168e-05 t=5927
dan zhe 	但這	c=0 d=0.00236356 t=5927
dan zhe zhong 	但這種	c=1 d=0.0237541 t=5927
dan zi 	單子	c=1 d=1 t=5846
dang 	當	c=1 d=0.729789 t=5927
dang chang 	當場	c=1 d=0.227638 t=5927
dang qian 	當前	c=2 d=0.559898 t=5927
dang qian yi ci 	當前一次	c=1 d=0.546074 t=5927
dang ran 	當然	c=1 d=0.650509 t=5927
dang ran shi 	當然是	c=1 d=1 t=5907
dang shi 	當時	c=10 d=0.669338 t=5927
dang shi de 	當時的	c=1 d=0.142987 t=5927
dang zhu le 	擋住了	c=1 d=0.729789 t=5927
dao 	到	c=14 d=1.50372 t=5927
dao 	導	c=0 d=0.00665368 t=5927
dao bao 	導包	c=4 d=2.03294 t=5927
dao de 	到的	c=2 d=0.0019239 t=5927
dao jin lai 	導進來	c=1 d=0.0668703 t=5927
dao le 	到了	c=0 d=0.0239309 t=5927
dao ru 	導入	c=3 d=1.3303 t=5927
dao ru bao 	導入包	c=1 d=0.748264 t=5927
dao ru de bao 	導入的包	c=1 d=0.822835 t=5927
dao shi 	倒是	c=1 d=0.190139 t=5927
dao shi hou 	到時候	c=1 d=0.0356146 t=5927
dao ti 	道題	c=1 d=0.0898153 t=5927
dao ye 	倒也	c=2 d=0.349765 t=5927
dao ye mei you 	倒也沒有	c=1 d=1 t=5841
dao zhi 	導致	c=6 d=0.0245733 t=5927
dao zhi de 	導致的	c=0 d=0.00049667 t=5927
dao zhi de e 	導致的額	c=1 d=0.00499159 t=5927
dao zhi le 	導致了	c=2 d=0.016394 t=5927
de 	地	c=2 d=0.606531 t=5927
de 	得	c=2 d=0.733447 t=5927
de 	的	c=240 d=9.95988 t=5927
de a 	的啊	c=1 d=0.000593188 t=5927
de ba 	的吧	c=1 d=0.0247235 t=5927
de bao 	的包	c=1 d=0.868501 t=5927
de chu 	得出	c=1 d=0.000104638 t=5927
de dao 	得到	c=1 d=0.540641 t=5927
de deng 	得等	c=1 d=0.463013 t=5927
de deng ni 	的等你	c=1 d=0.722527 t=5927
de hua 	的話	c=1 d=0.0285182 t=5927
de kuai zhao 	的快照	c=1 d=5.38128e-05 t=5927
de ma 	的嗎	c=4 d=0.331598 t=5927
de ne ge 	的呢個	c=1 d=0.188247 t=5927
de shi 	的事	c=0 d=3.18332e-06 t=5927
de shi hou 	的時候	c=2 d=0.543351 t=5927
de xing shi 	的形式	c=1 d=0.318224 t=5927
deng 	等	c=9 d=2.21912 t=5927
deng dai 	等待	c=1 d=0.38868 t=5927
deng deng 	等等	c=1 d=0.0010701 t=5927
deng long 	燈籠	c=1 d=0.647265 t=5927
deng lu 	登陸	c=1 d=0.467666 t=5927
deng ni 	等你	c=0 d=0.0718924 t=5927
deng wo 	等我	c=3 d=0.400517 t=5927
deng wo qu 	等我去	c=1 d=1 t=5882
deng yi hui 	等一會	c=1 d=1 t=5715
deng yi xia 	等一下	c=1 d=1 t=5666
deng you 	燈油	c=0 d=0.0704688 t=5927
di ceng 	底層	c=4 d=0.56125 t=5927
di er ci 	第二次	c=1 d=0.418952 t=5927
di er ge 	第二個	c=1 d=0.535261 t=5927
di er ge 	迪爾格	c=1 d=0.532592 t=5927
di fang 	地方	c=2 d=0.546074 t=5927
di ka er 	笛卡爾	c=1 d=4.06708e-05 t=5927
di ka er ji 	笛卡兒積	c=1 d=0.157237 t=5927
di ka er ji 	笛卡爾積	c=1 d=4.08747e-05 t=5927
di ka er ji he 	笛卡兒積和	c=1 d=4.0468e-05 t=5927
di que 	的確	c=1 d=0.00290884 t=5927
di sheng 	地聲	c=0 d=0.0511709 t=5927
di yi ci 	第一次	c=1 d=0.416862 t=5927
di yi ge 	第一個	c=1 d=0.447088 t=5927
di yu 	地域	c=1 d=0.524663 t=5927
di zhi 	地址	c=2 d=0.071719 t=5927
dian 	點	c=2 d=0.994353 t=5927
dian feng shi dai 	巔峰時代	c=0 d=0.0878095 t=5927
dian ji 	點擊	c=0 d=0.1 t=5786
dian ji yi ci 	點擊一次	c=1 d=1 t=5787
dian le 	點了	c=1 d=2.3465e-05 t=5927
dian xing de 	典型的	c=1 d=0.224249 t=5927
dian yi shou 	點一手	c=2 d=0.657047 t=5927
dian zi ban 	電子版	c=0 d=0.0955997 t=5927
dian zi ban de 	電子版的	c=1 d=0.960789 t=5927
diao 	掉	c=1 d=0.767206 t=5927
diao yi xia 	掉一下	c=1 d=0.600496 t=5927
diao yong 	調用	c=7 d=1.87277 t=5927
diao yong fang 	調用方	c=1 d=7.4107e-05 t=5927
diao yong ou jia nei ge 	調用偶加內格	c=1 d=0.869358 t=5927
ding 	頂	c=1 d=0.546074 t=5927
ding diao 	頂叼	c=1 d=0.856415 t=5927
ding diao 	頂掉	c=1 d=0.860708 t=5927
ding duo 	頂多	c=1 d=0.40657 t=5927
ding qi 	定期	c=2 d=1.86018 t=5927
ding shi ren wu 	定時任務	c=2 d=1.8509 t=5927
ding zheng 	訂正	c=6 d=2.45364 t=5927
ding zhu 	頂住	c=2 d=0.795298 t=5927
diu shi 	丟失	c=2 d=0.0033745 t=5927
dong cheng 	凍成	c=1 d=0.694197 t=5927
dong ji 	冬季	c=1 d=0.557106 t=5927
dong xi 	東西	c=4 d=1.14527 t=5927
dou 	都	c=4 d=1.10329 t=5927
dou bu zhi dao 	都不知道	c=1 d=1 t=5630
dou de 	都得	c=1 d=0.313486 t=5927
dou di 	兜底	c=5 d=1.38273 t=5927
dou dui 	都對	c=1 d=0.261846 t=5927
dou gai le ma 	都改了嗎	c=1 d=0.307279 t=5927
dou luo da lu 	鬥羅大陸	c=1 d=0.923116 t=5927
dou mei 	都沒	c=0 d=0.099005 t=5927
dou mei shang qu 	都沒上去	c=1 d=0.67032 t=5927
dou mei zen me 	都沒怎麼	c=1 d=0.995012 t=5927
dou shi 	都是	c=10 d=0.856415 t=5927
dou shuo le 	都說了	c=1 d=1 t=5856
dou zai 	都在	c=1 d=0.814647 t=5927
du 	度	c=5 d=2.73359 t=5927
du 	讀	c=3 d=0.000108025 t=5927
du 	都	c=0 d=0.0818731 t=5927
du qu 	讀取	c=6 d=0.186624 t=5927
du te de 	獨特的	c=0 d=0.0519442 t=5927
duan 	端	c=0 d=0.057695 t=5927
duan kou 	斷口	c=1 d=0.479505 t=5927
duan kou hao 	端口號	c=1 d=0.472367 t=5927
dui 	對	c=26 d=1.34745 t=5927
dui ba 	對吧	c=0 d=0.0194952 t=5927
dui bi 	對比	c=2 d=5.43464e-05 t=5927
dui bu dui 	對不對	c=2 d=0.369723 t=5927
dui bu shang 	對不上	c=1 d=0.474734 t=5927
dui cha xun 	對查詢	c=1 d=1.09191e-05 t=5927
dui cun chu 	對存儲	c=2 d=0.37022 t=5927
dui dui 	對對	c=0 d=0.0960789 t=5927
dui dui dui 	對對對	c=2 d=1.93605 t=5927
dui guo le 	對過了	c=2 d=0.680451 t=5927
dui jie kou 	對接口	c=1 d=1.45198e-05 t=5927
dui jing 	对境	c=0 d=0.0304221 t=5927
dui ni 	對你	c=0 d=0.0543351 t=5927
dui ni zhe 	對你這	c=1 d=0.546074 t=5927
dui shi shi 	對實時	c=1 d=0.0672055 t=5927
dui wai 	對外	c=5 d=0.852144 t=5927
dui wen jian 	對文件	c=1 d=0.537944 t=5927
dui xiang 	對象	c=1 d=1 t=5850
dui xiang guan 	對相關	c=1 d=0.127454 t=5927
dui xin biao qian 	對新標籤	c=1 d=0.806541 t=5927
dui ying 	對應	c=14 d=0.433193 t=5927
dui ying de 	對應的	c=1 d=0.0575558 t=5927
dui yu 	對於	c=10 d=0.0584257 t=5927
duo 	多	c=1 d=0.941765 t=5927
duo da 	多大	c=1 d=0.0332068 t=5927
duo ge 	多個	c=2 d=0.182684 t=5927
duo le 	多了	c=0 d=7.92752e-05 t=5927
duo le de hua 	多了的話	c=1 d=0.000796726 t=5927
duo shao 	多少	c=3 d=0.480699 t=5927
e 	額	c=14 d=2.51307 t=5927
e wai 	額外	c=5 d=0.649596 t=5927
ei 	誒	c=0 d=1.7252e-05 t=5927
en 	恩	c=33 d=3.19236 t=5927
er 	二	c=0 d=0.00483156 t=5927
er li 	二力	c=1 d=0.000553084 t=5927
er qi 	二期	c=3 d=0.107746 t=5927
fa 	法	c=1 d=0.802519 t=5927
fa 	發	c=0 d=0.0763379 t=5927
fa bu zhe 	發佈者	c=1 d=0.465334 t=5927
fa de 	發的	c=1 d=0.980199 t=5927
fa sheng 	發生	c=4 d=0.606531 t=5927
fa shi fa shang 	法师法上	c=0 d=0.176946 t=5927
fa shi fa shang da fang da shuai fan she de 	法师法上大放大率反射的	c=1 d=0.895834 t=5927
fa shi fa shang dian feng shi dai 	法师法上巔峰時代	c=2 d=1.78282 t=5927
fa song 	發送	c=1 d=0.992209 t=5927
fa tian 	法天	c=0 d=0.0289384 t=5927
fa xia 	罰下	c=1 d=0.00975476 t=5927
fa xian 	發現	c=7 d=0.925969 t=5927
fa xiao xi 	發消息	c=1 d=0.231078 t=5927
fa xie 	法鞋	c=1 d=0.744532 t=5927
fa zi 	法子	c=1 d=0.0166557 t=5927
fan hui 	返回	c=11 d=1.64918 t=5927
fan hui le 	返回了	c=1 d=0.331211 t=5927
fan hui shi bai 	返回失敗	c=1 d=0.386741 t=5927
fan qiang 	翻牆	c=1 d=0.600496 t=5927
fan she de 	反射的	c=0 d=0.0891366 t=5927
fan wei 	範圍	c=1 d=0.00016826 t=5927
fan yi 	翻譯	c=1 d=0.514274 t=5927
fan zheng 	反正	c=4 d=2.20346 t=5927
fan zhi 	反制	c=1 d=0.00302755 t=5927
fang 	方	c=3 d=1.82458 t=5927
fang an 	方案	c=4 d=1.80824 t=5927
fang bian 	方便	c=1 d=0.0816756 t=5927
fang da 	方大	c=4 d=3.32824 t=5927
fang da fen san fa 	方大分散法	c=1 d=0.878095 t=5927
fang dao 	放到	c=1 d=0.00369786 t=5927
