# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	58
#@/user_id	rime_ice
a 	啊	c=2731 d=5.96503 t=58
an li shuo 	按理说	c=72 d=0.672221 t=58
an mo 	按摩	c=2 d=1.90366e-15 t=58
an mu xi 	安慕希	c=1 d=3.38053e-65 t=58
an niu 	按扭	c=4 d=1.00567 t=58
an pai 	安排	c=5 d=3.20701e-05 t=58
an pai ba 	安排吧	c=1 d=2.33259e-82 t=58
an pai de 	安排的	c=5 d=0.0206714 t=58
an quan 	安全	c=28 d=0.00775048 t=58
an quan de ma 	安全的吗	c=1 d=5.38952e-23 t=58
an quan ma 	安全吗	c=1 d=3.95912e-12 t=58
an quan xing 	安全性	c=4 d=0.496585 t=58
an quan xing ma 	安全性吗	c=1 d=1.05777e-43 t=58
an ru he 	按如何	c=1 d=9.41223e-53 t=58
an shi 	按时	c=2 d=3.82946e-32 t=58
an shun xu 	按顺序	c=2 d=1.48131e-05 t=58
an wei 	安慰	c=7 d=0.0078051 t=58
an xia 	按下	c=1 d=5.95432e-19 t=58
an ye wu shu 	按业务树	c=1 d=1.51881e-05 t=58
an ye yi yang 	俺也一样	c=5 d=5.0933e-05 t=58
an yi chang an 	按忆长安	c=1 d=9.69392e-47 t=58
an za 	腤臜	c=0 d=4.12139e-15 t=58
an za hou 	腤臜后	c=1 d=4.14205e-14 t=58
an zhao 	按照	c=71 d=0.865045 t=58
an zhe 	按着	c=1 d=5.09227e-32 t=58
an zhe ge 	按这个	c=2 d=7.15558e-34 t=58
an zhi qian 	按之前	c=1 d=1.32561e-22 t=58
an zhuang 	安装	c=136 d=2.62077 t=58
an zhuang bao 	安装包	c=1 d=4.37001e-56 t=58
an zhuang de 	安装的	c=1 d=0.790571 t=58
an zhuang le 	安装了	c=1 d=0.0387742 t=58
an zhuang shi 	安装时	c=1 d=0.311923 t=58
an zhuo 	安卓	c=2 d=1.75336e-18 t=58
an zuo niao 	鞍作鸟	c=0 d=0.000339653 t=58
ang 	昂	c=0 d=0.067368 t=58
ao 	奥	c=0 d=3.04739e-22 t=58
ao 	熬	c=2 d=4.98125e-08 t=58
ao di 	奥迪	c=1 d=2.45994e-31 t=58
ao li en 	奥里恩	c=0 d=2.47269e-34 t=58
ao men 	澳门	c=3 d=0.00255316 t=58
ao min 	熬民	c=1 d=0.00130051 t=58
ao tian 	傲天	c=2 d=1.45052e-12 t=58
ao ye 	熬夜	c=1 d=4.55717e-20 t=58
ao yun 	奥运	c=2 d=7.66045e-32 t=58
ba 	八	c=1 d=1.11955e-06 t=58
ba 	吧	c=1415 d=3.94303 t=58
ba 	把	c=178 d=1.54619 t=58
ba ba 	八八	c=1 d=9.31571e-20 t=58
ba bai 	八百	c=1 d=4.69436e-17 t=58
ba bai nian 	八百年	c=5 d=8.40458e-15 t=58
ba bai nian 	吧拜年	c=1 d=4.69436e-16 t=58
ba bai nian qian 	八百年前	c=2 d=8.68739e-22 t=58
ba cou o 	吧凑哦	c=1 d=4.15405e-48 t=58
ba de 	巴得	c=1 d=1.37591e-19 t=58
ba dian 	八点	c=5 d=0.299692 t=58
ba dian ba 	吧点吧	c=2 d=5.39604e-56 t=58
ba dian le 	八点了	c=5 d=4.38718e-12 t=58
ba dian zou 	吧点走	c=1 d=5.92059e-11 t=58
ba er ba nian 	八二八年	c=0 d=1.73892e-10 t=58
ba gua 	八卦	c=4 d=2.52969e-07 t=58
ba guo lv 	把过滤	c=1 d=3.06476e-29 t=58
ba hao 	八号	c=0 d=3.2515e-20 t=58
ba hao qiao 	八号桥	c=2 d=3.2678e-19 t=58
ba jiu 	八九	c=0 d=1.51216e-72 t=58
ba jiu dian 	八九点	c=1 d=1.51974e-71 t=58
ba jiu dian 	吧酒店	c=1 d=1.51216e-71 t=58
ba kong 	把控	c=1 d=3.75503e-07 t=58
ba na ge 	把那个	c=1 d=8.39716e-34 t=58
ba ni 	把你	c=5 d=5.00707e-10 t=58
ba pi 	扒皮	c=1 d=0.694197 t=58
ba qian 	八千	c=1 d=9.74947e-26 t=58
ba ren 	把人	c=1 d=4.62447e-16 t=58
ba shui 	把水	c=0 d=0.0683861 t=58
ba shui fang jin 	把水放进	c=1 d=0.687289 t=58
ba ta 	把它	c=5 d=0.0735345 t=58
ba wang 	霸王	c=1 d=2.26965e-25 t=58
ba wo 	把我	c=6 d=0.843665 t=58
ba wo 	把握	c=2 d=1.57317e-07 t=58
ba wo de 	把我的	c=2 d=0.0223708 t=58
ba wo na ge 	吧我那个	c=1 d=4.07054e-15 t=58
ba ying wen 	吧英文	c=1 d=0.000655574 t=58
ba yue 	八月	c=0 d=2.03642e-15 t=58
ba yue di 	八月底	c=2 d=1.74823e-13 t=58
ba yue fen 	八月份	c=0 d=1.60054e-05 t=58
ba zhe duan 	吧这段	c=1 d=2.24089e-22 t=58
ba zhe ge 	把这个	c=10 d=0.000125064 t=58
ba zhe liang ge 	吧这两个	c=1 d=5.7298e-08 t=58
ba zhe xie 	把这些	c=1 d=0.00362464 t=58
ba zhi qian de 	把之前的	c=1 d=0.336216 t=58
bai 	白	c=9 d=0.0101022 t=58
bai 	百	c=3 d=0.00199922 t=58
bai an 	白安	c=1 d=0.000160054 t=58
bai bu yao 	白不要	c=1 d=1.03007e-25 t=58
bai de 	白的	c=1 d=2.77066e-48 t=58
bai du 	百度	c=10 d=0.0257325 t=58
bai du a 	百度啊	c=1 d=1.81051e-13 t=58
bai fen shu 	百分数	c=1 d=1.04184e-41 t=58
bai fen zhi 	百分制	c=1 d=0.00283702 t=58
bai fen zhi yi 	百分之一	c=1 d=4.62132e-08 t=58
bai gan 	白干	c=0 d=6.82074e-30 t=58
bai gei 	白给	c=1 d=8.87524e-24 t=58
bai gei 	败给	c=1 d=8.02083e-24 t=58
bai gei wo 	白给我	c=1 d=8.18286e-24 t=58
bai gong 	白工	c=1 d=7.07429e-76 t=58
bai hua 	白话	c=1 d=5.46353e-07 t=58
bai hua 	百花	c=1 d=5.43628e-07 t=58
bai hua wen 	白话文	c=1 d=5.62112e-18 t=58
bai jiu 	白酒	c=2 d=6.81179e-33 t=58
bai ke 	百科	c=1 d=2.26379e-24 t=58
bai lan 	摆烂	c=2 d=2.37396e-16 t=58
bai mao 	白毛	c=1 d=9.08106e-14 t=58
bai min dan 	白民但	c=1 d=1.48975e-13 t=58
bai ming 	白名	c=3 d=0.0075445 t=58
bai ming dan 	白名但	c=1 d=0.0378169 t=58
bai ming dan 	白名单	c=48 d=0.0380064 t=58
bai ming dan de 	白名单的	c=4 d=6.87805e-09 t=58
bai nian 	拜年	c=1 d=0.0254765 t=58
bai piao 	拜票	c=1 d=2.40795e-15 t=58
bai piao 	白嫖	c=13 d=0.0153475 t=58
bai ping mu 	白屏幕	c=1 d=1.32061e-07 t=58
bai se 	白色	c=1 d=7.28772e-14 t=58
bai se 	百色	c=1 d=7.25138e-14 t=58
bai shou 	百兽	c=1 d=1.65868e-12 t=58
bai wan 	百万	c=3 d=0.217621 t=58
bai yi tong 	白一彤	c=0 d=1.51123e-06 t=58
bai yi tong er er 	白一彤二二	c=1 d=1.51881e-05 t=58
bai yuan 	白元	c=1 d=6.12086e-20 t=58
bai ze 	白泽	c=1 d=1.55376e-08 t=58
bai zhe 	摆着	c=1 d=0.000201444 t=58
bai zi 	摆子	c=1 d=1.83344e-14 t=58
bai zu 	白族	c=1 d=0.0018734 t=58
bai zuo 	白做	c=1 d=6.39149e-29 t=58
ban 	半	c=13 d=0.714008 t=58
ban 	搬	c=1 d=6.28563e-10 t=58
ban 	版	c=1 d=4.74977e-07 t=58
ban 	班	c=13 d=0.000216799 t=58
ban 	般	c=7 d=1.18631e-10 t=58
ban ben 	版本	c=133 d=3.42125 t=58
ban ben de 	版本的	c=2 d=0.00163682 t=58
ban ben er 	扳本儿	c=3 d=6.10568e-12 t=58
ban ben hao 	版本号	c=8 d=0.0197669 t=58
ban ben ne 	版本呢	c=2 d=1.78446e-19 t=58
ban ben shi 	版本是	c=1 d=0.0385808 t=58
ban bu ban 	搬不搬	c=1 d=6.31714e-09 t=58
ban bu liao 	搬不了	c=1 d=1.58667e-78 t=58
ban cheng pin 	半成品	c=2 d=0.396531 t=58
ban dong xi 	搬东西	c=1 d=2.15896e-25 t=58
ban dui 	半对	c=1 d=6.51818e-54 t=58
ban fa 	办法	c=22 d=0.00115923 t=58
ban fa 	颁发	c=1 d=1.37306e-24 t=58
ban ge 	半个	c=1 d=2.42918e-30 t=58
ban ge yue 	半个月	c=1 d=0.511709 t=58
ban gong 	办公	c=2 d=1.54281e-13 t=58
ban guo qu 	搬过去	c=1 d=2.99835e-36 t=58
ban ji 	扳机	c=1 d=1.83026e-23 t=58
ban ji 	班级	c=20 d=0.00629556 t=58
ban jia 	搬家	c=19 d=0.00251621 t=58
ban jin ba liang 	半斤八两	c=1 d=2.89631e-11 t=58
ban le 	办了	c=0 d=7.49411e-20 t=58
ban le 	搬了	c=2 d=1.64811e-25 t=58
ban le 	班了	c=1 d=2.04767e-21 t=58
ban li 	办理	c=4 d=0.0466538 t=58
ban li 	板栗	c=1 d=0.0108347 t=58
ban nian 	半年	c=6 d=2.02982e-05 t=58
ban qiang po 	半强迫	c=1 d=0.287941 t=58
ban qu 	搬去	c=1 d=1.60381e-28 t=58
ban quan 	版权	c=1 d=0.00165327 t=58
ban shu 	半数	c=1 d=1.06531e-09 t=58
ban shu 	板书	c=3 d=4.35238e-33 t=58
ban tian 	半天	c=26 d=1.11592 t=58
ban xiao shi 	半小时	c=13 d=0.0144647 t=58
ban xing 	半星	c=1 d=0.0804596 t=58
ban ye 	半夜	c=1 d=9.42085e-05 t=58
ban zi 	板子	c=2 d=2.13668e-50 t=58
bang 	帮	c=6 d=1.38927e-15 t=58
bang din 	帮𨈖	c=1 d=0.0154523 t=58
bang ding 	绑定	c=14 d=0.514274 t=58
bang ding de 	绑定的	c=3 d=2.66302e-52 t=58
bang mang 	帮忙	c=49 d=0.145597 t=58
bang mang kan kan 	帮忙看看	c=1 d=1.87366e-34 t=58
bang ni 	帮你	c=10 d=0.597501 t=58
bang ren 	帮人	c=0 d=1.50395e-08 t=58
bang shou 	帮手	c=1 d=0.00232837 t=58
bang ta 	帮他	c=4 d=0.00292342 t=58
bang ta men 	帮他们	c=1 d=2.81214e-17 t=58
bang wo 	帮我	c=100 d=0.876354 t=58
bang wo ba 	帮我把	c=1 d=1.2672e-80 t=58
bang wo gei 	帮我给	c=1 d=4.7211e-24 t=58
bang wo men 	帮我们	c=1 d=1.27298e-16 t=58
bang wo qiang 	帮我抢	c=1 d=1.56911e-06 t=58
bang wo xie 	帮我写	c=2 d=4.65081e-24 t=58
bang wo yong 	帮我用	c=1 d=0.000182274 t=58
bang wu 	旁午	c=1 d=0.000569928 t=58
bang yue han 	棒约翰	c=1 d=4.53907e-32 t=58
bang zhu 	帮助	c=34 d=0.0336168 t=58
bang zhu wo 	帮助我	c=1 d=1.54623e-39 t=58
bang zu 	帮组	c=7 d=2.69156e-77 t=58
bang zu 	邦族	c=12 d=0.0824965 t=58
bang zu wo 	邦族我	c=1 d=1.53852e-39 t=58
bao 	包	c=134 d=3.41753 t=58
bao 	宝	c=5 d=2.28305e-06 t=58
bao 	报	c=13 d=0.677057 t=58
bao 	爆	c=2 d=4.63171e-05 t=58
bao ban 	包办	c=2 d=1.47593e-21 t=58
bao bao 	宝宝	c=3 d=1.03901e-09 t=58
bao bi 	暴毙	c=2 d=9.97928e-06 t=58
bao bu qi 	保不齐	c=1 d=0.00767337 t=58
bao chi 	保持	c=13 d=0.123687 t=58
bao chi yuan yang 	保持原样	c=1 d=1.29958e-24 t=58
bao chu lai 	报出来	c=0 d=1.68289e-07 t=58
bao chu lai de 	报出来的	c=1 d=5.48327e-20 t=58
bao chu lai le 	报出来了	c=1 d=1.69132e-06 t=58
bao chui 	爆锤	c=1 d=3.09272e-77 t=58
bao cun 	保存	c=14 d=0.822835 t=58
bao cun shi 	保存时	c=1 d=0.0126512 t=58
bao cuo 	报错	c=345 d=2.1396 t=58
bao cuo de 	报错的	c=7 d=0.618783 t=58
bao cuo er li 	报错二力	c=1 d=2.75028e-20 t=58
bao cuo ke 	报错可	c=1 d=0.318224 t=58
bao cuo le 	报错了	c=42 d=0.496194 t=58
bao cuo le ma 	报错了吗	c=1 d=1.21544e-60 t=58
bao cuo lv 	报错率	c=1 d=4.24691e-14 t=58
bao cuo shi 	报错是	c=1 d=6.77633e-11 t=58
bao da 	暴打	c=2 d=5.23291e-29 t=58
bao de 	报的	c=2 d=0.000755912 t=58
bao de cuo 	报的错	c=2 d=0.00759701 t=58
bao di 	保底	c=1 d=3.75044e-22 t=58
bao di 	宝地	c=1 d=3.73173e-22 t=58
bao die 	暴跌	c=1 d=1.02493e-25 t=58
bao fo jiao 	抱佛脚	c=1 d=2.67027e-55 t=58
bao gao 	报告	c=31 d=0.390628 t=58
bao gao ye 	报告页	c=3 d=0.0742736 t=58
bao ge cuo 	包个错	c=1 d=1.47417e-07 t=58
bao guang 	曝光	c=46 d=9.21831e-14 t=58
bao guang shu 	曝光数	c=2 d=2.94458e-29 t=58
bao guo 	包裹	c=1 d=1.2109e-16 t=58
bao guo 	胞果	c=1 d=1.20441e-41 t=58
bao han 	保函	c=1 d=0.339596 t=58
bao han 	包含	c=69 d=0.887371 t=58
bao han de 	包含的	c=1 d=2.24394e-38 t=58
bao han le 	包含了	c=8 d=0.0424257 t=58
bao hu 	保护	c=2 d=0.000278804 t=58
bao huo 	爆火	c=1 d=1.17571e-22 t=58
bao jian pin 	保健品	c=1 d=7.22627e-32 t=58
bao jing 	报警	c=104 d=0.737791 t=58
bao jing qun 	报警群	c=1 d=7.458e-21 t=58
bao kuo 	包括	c=2 d=9.14554e-09 t=58
bao le 	包了	c=1 d=3.50176e-09 t=58
bao le 	报了	c=8 d=0.00313008 t=58
bao le 	饱了	c=0 d=6.72627e-13 t=58
bao le ma 	饱了吗	c=1 d=6.75999e-12 t=58
bao li 	暴利	c=4 d=4.53999e-05 t=58
bao li 	暴力	c=1 d=7.8947e-14 t=58
bao liu 	保留	c=11 d=0.0211736 t=58
bao liu de 	保留地	c=1 d=2.95481e-11 t=58
bao lu 	暴露	c=6 d=0.0607773 t=58
bao mi 	保密	c=9 d=0.0018363 t=58
bao ming 	报名	c=5 d=2.46872e-09 t=58
bao mu 	保姆	c=1 d=1.18257e-61 t=58
bao po 	爆破	c=1 d=0.000234044 t=58
bao qian 	抱歉	c=3 d=0.358796 t=58
bao shi 	宝石	c=3 d=4.83695e-27 t=58
bao shou 	保守	c=9 d=0.537982 t=58
bao xian 	保险	c=2 d=0.729789 t=58
bao xian xiang 	保险箱	c=2 d=2.05436e-20 t=58
bao xian xiao 	保险销	c=1 d=1.00672e-20 t=58
bao xiao 	报销	c=12 d=2.99466e-10 t=58
bao xue 	暴雪	c=1 d=1.24024e-33 t=58
bao yi xia 	包一下	c=1 d=9.84043e-47 t=58
bao you 	抱有	c=1 d=0.0112769 t=58
bao yu 	暴雨	c=1 d=8.73636e-20 t=58
bao yue 	包月	c=1 d=6.60431e-32 t=58
bao zai 	包在	c=1 d=1.49076e-21 t=58
bao zha 	爆炸	c=4 d=4.11075e-13 t=58
bao zhang 	保障	c=52 d=0.659769 t=58
bao zhang 	暴涨	c=1 d=4.13136e-13 t=58
bao zhang le 	保障了	c=1 d=2.88431e-21 t=58
bao zhe 	抱着	c=1 d=7.27486e-52 t=58
bao zhe cuo 	包折挫	c=1 d=1.618e-14 t=58
bao zhe ge cuo 	报这个错	c=1 d=5.84915e-74 t=58
bao zhen 	抱枕	c=2 d=3.86465e-22 t=58
bao zhen 	疱疹	c=1 d=2.9502e-22 t=58
bao zheng 	保证	c=7 d=2.02978e-05 t=58
bao zheng 	暴政	c=1 d=2.01965e-05 t=58
bao zhi 	保志	c=1 d=3.89926e-68 t=58
bao zhi bao liang 	保质保量	c=1 d=3.40974e-78 t=58
bao zhi qi 	保质期	c=1 d=2.7574e-21 t=58
bao zhong 	保重	c=1 d=1.36644e-26 t=58
bao zhuang 	包装	c=1 d=2.45534e-09 t=58
bao zi 	包子	c=1 d=3.90881e-38 t=58
bao zuo 	宝座	c=1 d=3.67117e-07 t=58
bao zuo le 	宝座了	c=1 d=3.68957e-06 t=58
bei 	倍	c=3 d=0.752014 t=58
bei 	北	c=1 d=2.37703e-10 t=58
bei 	呗	c=52 d=0.630834 t=58
bei 	备	c=1 d=2.04767e-20 t=58
bei 	杯	c=0 d=7.67598e-08 t=58
bei 	背	c=1 d=2.25442e-34 t=58
bei 	被	c=90 d=0.40657 t=58
bei bie ren 	被别人	c=1 d=0.00591656 t=58
bei dong 	被动	c=1 d=3.11319e-37 t=58
bei fa xian 	被发现	c=2 d=1.16061e-17 t=58
bei fang 	北方	c=1 d=1.60758e-85 t=58
bei fu gai 	被覆盖	c=1 d=4.28813e-10 t=58
bei fu gai dao 	被覆盖到	c=1 d=2.13124e-20 t=58
bei guan 	悲观	c=1 d=9.51877e-09 t=58
bei guo 	背过	c=1 d=5.03302e-12 t=58
bei guo 	背锅	c=2 d=8.23535e-11 t=58
bei guo lv 	被过滤	c=1 d=5.97157e-53 t=58
bei hai 	北海	c=2 d=6.69885e-10 t=58
bei hou 	背后	c=1 d=0.000102814 t=58
bei huo 	备货	c=2 d=1.30845e-08 t=58
bei jing 	北京	c=25 d=0.380987 t=58
bei jing 	背景	c=24 d=0.382897 t=58
bei jing tu 	背景图	c=1 d=1.09209e-07 t=58
bei ju 	悲剧	c=1 d=0.0804596 t=58
bei ju 	杯具	c=1 d=0.0800583 t=58
bei lai 	贝莱	c=1 d=8.64406e-22 t=58
bei miao 	被秒	c=1 d=5.62896e-05 t=58
bei ni 	被你	c=3 d=2.49805e-07 t=58
bei pen 	被喷	c=1 d=0.000536738 t=58
bei pian le 	被骗了	c=1 d=5.35318e-61 t=58
bei po 	被迫	c=5 d=3.55408e-07 t=58
bei ren 	被人	c=2 d=2.67127e-30 t=58
bei ren wei 	被认为	c=1 d=3.27559e-47 t=58
bei shi yong 	被使用	c=2 d=1.05725 t=58
bei shu 	倍数	c=3 d=0.236928 t=58
bei shui 	被谁	c=3 d=2.5253e-16 t=58
bei song 	背诵	c=2 d=1.1912e-21 t=58
bei ta men 	被他们	c=1 d=7.05168e-09 t=58
bei wo 	被我	c=5 d=0.543351 t=58
bei xiu gai 	被修改	c=1 d=0.000198445 t=58
bei xuan 	备选	c=2 d=0.180871 t=58
bei xuan wei 	被选为	c=1 d=0.000201444 t=58
bei yin yong 	被引用	c=1 d=1.53189e-47 t=58
bei ying 	背影	c=2 d=2.8131e-21 t=58
bei zhan 	备战	c=1 d=1.22498e-05 t=58
bei zhe 	背着	c=1 d=3.45234e-77 t=58
bei zhe ge 	被这个	c=1 d=5.61634e-08 t=58
bei zhu 	备注	c=3 d=7.02559e-16 t=58
bei zi 	杯子	c=5 d=4.22357e-08 t=58
bei zi 	被子	c=3 d=0.615697 t=58
bei zuo cuo 	被做错	c=1 d=0.000558643 t=58
ben 	本	c=26 d=0.996761 t=58
ben ban 	本版	c=0 d=3.23308e-12 t=58
ben bo 	奔波	c=0 d=1.24646e-34 t=58
ben cao 	本草	c=1 d=0.00207043 t=58
ben ci 	本次	c=80 d=0.947504 t=58
ben ci xi 	本次系	c=1 d=0.00204983 t=58
ben di 	本地	c=75 d=1.03766 t=58
ben di bu shu 	本地部署	c=1 d=0.00169512 t=58
ben di huan cun 	本地缓存	c=1 d=3.18485e-40 t=58
ben jie 	本节	c=2 d=0.0286505 t=58
ben jie duan 	本阶段	c=1 d=5.21319e-14 t=58
ben jie ke 	本节课	c=1 d=0.287941 t=58
ben ke 	本科	c=3 d=6.18994e-05 t=58
ben kui 	奔溃	c=1 d=1.86908e-64 t=58
ben lai 	本来	c=43 d=0.172045 t=58
ben lai jiu 	本来就	c=2 d=0.000111109 t=58
ben lai jiu gui 	本来就贵	c=1 d=0.000452827 t=58
ben lai jiu shi 	本来就是	c=1 d=1.20072e-05 t=58
ben lai shi 	本来是	c=2 d=0.179066 t=58
ben lai ye 	本来也	c=1 d=2.75759e-22 t=58
ben lai ye bu 	本来也不	c=1 d=2.77122e-21 t=58
ben lai ye jiu 	本来也就	c=1 d=4.57675e-41 t=58
ben lai ye yao 	本来也要	c=1 d=1.86755e-25 t=58
ben qi 	本期	c=33 d=0.524663 t=58
ben qi de 	本期的	c=1 d=1.5704e-45 t=58
ben ren 	本人	c=1 d=1.2625e-07 t=58
ben ri 	本日	c=2 d=6.49756e-57 t=58
ben she 	本社	c=2 d=2.48644e-10 t=58
ben shen 	本身	c=60 d=0.478421 t=58
ben shen de 	本身的	c=2 d=0.00869506 t=58
ben shen fang 	本身方	c=1 d=0.00848038 t=58
ben shen ne ge 	本身呢个	c=1 d=0.511709 t=58
ben sheng 	本省	c=4 d=6.69713e-30 t=58
ben shi 	本实	c=1 d=4.57037e-54 t=58
ben shu 	本书	c=2 d=0.200607 t=58
ben tao 	本套	c=1 d=9.26579e-45 t=58
ben ti 	本体	c=2 d=1.44125e-06 t=58
ben ti 	本题	c=1 d=0.136014 t=58
ben tiao 	本条	c=1 d=1.59576e-57 t=58
ben wei 	本位	c=1 d=0.13068 t=58
ben wen 	本文	c=3 d=0.591555 t=58
ben xue ke 	本学科	c=1 d=1.12865e-12 t=58
ben zhang 	本章	c=1 d=0.0214936 t=58
ben zhe 	奔着	c=1 d=1.17695e-05 t=58
ben zhi 	本质	c=1 d=2.72523e-30 t=58
ben zhou 	本周	c=3 d=0.0953692 t=58
ben zhou 	本昼	c=1 d=0.0948935 t=58
beng 	崩	c=3 d=4.98973e-28 t=58
beng de 	崩的	c=1 d=1.69305e-18 t=58
beng kui 	崩溃	c=6 d=4.2025e-08 t=58
beng le 	崩了	c=1 d=2.5985e-58 t=58
beng pan 	崩盘	c=1 d=3.64715e-17 t=58
bi 	币	c=3 d=1.05525e-15 t=58
bi 	比	c=51 d=0.154014 t=58
bi a 	比啊	c=1 d=4.70331e-09 t=58
bi bao 	闭包	c=6 d=5.262e-06 t=58
bi bi 	避避	c=0 d=1.43133e-14 t=58
bi bi lei 	避避雷	c=1 d=1.43851e-13 t=58
bi bu 	必不	c=0 d=6.65821e-11 t=58
bi bu ke neng 	必不可能	c=3 d=6.69159e-10 t=58
bi de 	闭的	c=12 d=2.44864e-05 t=58
bi dei 	必得	c=0 d=2.10752e-07 t=58
bi dei shang 	必得上	c=1 d=2.11808e-06 t=58
bi duan 	弊端	c=1 d=5.71482e-36 t=58
bi dui 	比对	c=18 d=0.0535365 t=58
bi dui luo ji 	比对逻辑	c=1 d=0.0500366 t=58
bi er 	比尔	c=1 d=1.08495e-18 t=58
bi fang shuo 	比方说	c=10 d=2.17024 t=58
bi he 	闭合	c=3 d=1.50823e-26 t=58
bi huan 	闭环	c=2 d=3.53695e-09 t=58
bi ji 	笔记	c=5 d=1.56926e-09 t=58
bi jiang 	必将	c=2 d=6.09882e-07 t=58
bi jiao 	比较	c=99 d=0.627227 t=58
bi jiao cha 	比较差	c=1 d=1.08196e-15 t=58
bi jiao chang 	比较长	c=1 d=3.18041e-53 t=58
bi jiao da 	比较大	c=12 d=5.31488e-06 t=58
bi jiao da de 	比较大的	c=1 d=2.14069e-72 t=58
bi jiao da le 	比较大了	c=1 d=1.52497e-82 t=58
bi jiao de 	比较的	c=1 d=1.75395e-22 t=58
bi jiao duo 	比较多	c=5 d=0.353455 t=58
bi jiao duo de 	比较多的	c=1 d=0.000368894 t=58
bi jiao gao 	比较高	c=5 d=0.794534 t=58
bi jiao gao de 	比较高的	c=1 d=0.000611253 t=58
